,title,date,summary,prefix,media,body,author
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,Quiénes son los diputados que abandonaron el barco de Juntos por el Cambio ,2019-12-04,,"Son representantes de Buenos Aires, Santa Cruz y Tucumán",<Response [200]>,"El interbloque de Juntos por el Cambio, que el 10 de diciembre debutará como principal fuerza opositora en la Cámara de Diputados de la Nación, perdió tres integrantes que se cruzaron de vereda. Los que abandonan el barco de Mauricio Macri y compañía pertenecen a tres provincias distintas: Buenos Aires, Santa Cruz y Tucumán. Los tres confirmaron que se sumarán a un interbloque de fuerzas provinciales. 

Puntualmente, son la tucumana Beatriz Ávila, el santacruceño Antonio Carambia y el dirigente de la UATRE y del Partido Fe Pablo Miguel Ansaloni. Los tres legisladores habían sido electos en 2017, cuando la fuerza aún se llamaba Cambiemos, y tendrán mandato hasta 2021. 

De esta manera, la tropa de Juntos por el Cambio quedará reducida a 116 diputados. Así, el bloque perdió la mayoría ante los 121 diputados que logró reunir en Frente de Todos, a partir de la integración de representantes de los oficialismos provinciales santiagueños, misioneros y puntanos. La posibilidad de crear un bloque propio había sido habilitada por el jefe de bloque del PRO, Cristian Ritondo, para evitar nuevas fugas, pero no fue suficiente. 

El ejército de trolls de Cambiemos no tardó en reaccionar en las redes sociales, donde los escracharon y les reclamaron la renuncia a “sus bancas” por haber “traicionado al electorado”. “El 41 por ciento está atento”, subrayaron en referencia al porcentaje que obtuvo Juntos por el Cambio en las últimas elecciones. En algunos mensajes, viralizaron los números de sus despachos. ""A escribirle y a decirle todo lo que pensamos de él"", arengaron. 

",
8,“Son tiempos de resistencia al neoliberalismo en todo el continente” ,2019-12-04,,La 39º Marcha de la Resistencia de Madres Línea Fundadora,<Response [200]>,"“Son tiempos de resistencia al neoliberalismo que nos golpea en todo el continente”, definió Taty Almeida, Madre de Plaza de Mayo, a horas de comenzar junto a sus compañeras de la Línea Fundadora la trigésimo novena edición de su Marcha de la Resistencia. En Plaza de Mayo, entre las 12 y las 20 de este jueves, rodearán sin cesar la Pirámide de Mayo acompañadas por Abuelas de Plaza de Mayo, Familiares de Desaparecidos Detenidos por Razones Políticas e Hijos, entre otros organismos de derechos humanos para decir “Basta de neoliberalismo porque hambrea a nuestros pueblos”.

Como en años anteriores, las Madres se instalarán en la Plaza al reparo de un gazebo que las protegerá del sol entre ronda y ronda. “Ya somos grandes, necesitamos estos recaudos pero no aflojamos”, advirtió por su parte Nora Cortiñas, quien señaló que “nuestra resistencia se reeditó estos cuatro años frente a los desastres que cometieron Mauricio Macri y su gobierno. No dejamos de estar en las calles”. Serán acompañadas por otros organismos de derechos humanos, organizaciones sociales y políticas y los gremios de la CTA y la CGT que confluyen en la Intersindical de derechos humanos. 

“Hemos resistido por años y más estos últimos cuatro de un gobierno que fue lamentable, que no ha dejado derecho sin violentar”, sumó Almeida. Como cada año, las Madres reclamarán la apertura de los archivos del terrorismo de Estado y la “ruptura” del pacto de silencio de los militares y de la Iglesia: “Que digan qué pasó con todos y cada uno de nuestros hijos e hijas desaparecidas”, exigirán durante la jornada de resistencia en la que, desde ya, exclamarán que “son 30 mil” las víctimas de la última dictadura cívico militar. “Cárcel común, perpetua y efectiva” para “todos los genocidas y sus cómplices” y la restitución de la identidad a los jóvenes apropiados por el terrorismo de Estado completan la nómina de consignas especialmente vinculadas con los crímenes de lesa humanidad que las tienen a ellas y a sus hijes como víctimas. 

Esta edición de la Marcha, la 39° de la línea fundadora, está atravesada, no obstante, por las condiciones sociales, económicas y políticas que castigan a la región. Así, su lema principal, “Basta de neoliberalismo porque hambrea a nuestros pueblos”, fue consensuado con el objetivo de significar “los tiempos que contextualizan esta edición, porque sabemos muy bien del horror que provoca cuando el neoliberalismo se instala en nuestras tierras”, informó Almeida. “Hay hambre en todos los países de América Latina, acá gracias a Macri, también. Y hay que estar muy atentos porque si bien ganó las elecciones un gobierno popular estos que se van no lo harán para siempre, quedarán al acecho”, concluyó. 

Además, las Madres repudiarán el golpe de Estado en Bolivia, exigirán el cese de “golpes, desapariciones, violaciones y abusos en América Latina y el Caribe”, reclamarán el cese de la “injerencia” de Estados Unidos en la política de esos países y reformularán el “nunca más”: “Nunca más políticas neoliberales en nuestro país y endeudamientos ilegítimos e impagables”. Por último, rechazarán “la doctrina Chocobar que valida el gatillo fácil”. Varios de los temas resumidos en las consignas serán desplegados desde la radio abierta que acompañará la marcha, por la que pasarán referentes de organizaciones sindicales, sociales y políticas argentinos y de países de la región para sumar sus testimonios y análisis.

Las rondas ininterrumpidas de mañana serán, también, la bienvenida de las Madres y el resto de los organismos de derechos humanos que las acompañarán al “gobierno popular que llegará el 10 de diciembre”. En ese sentido, concluyó Almeida: “Le tenemos mucha esperanza, sabemos con seguridad que, entre muchas otras cosas, no le va a faltar el respeto a la memoria de nuestros hijos, pero también que no le va a ser fácil sacar adelante el país de las condiciones en que lo dejan. Eso es una tarea de todos y todas”. ",Ailín Bullentini
9,Las deudas millonarias de los Macri por el Correo,2019-12-04,"La presentación judicial pide a la Cámara Comercial que obligue al grupo empresario a poner las acciones en venta y a detallar cómo pagará a sus más de 700 acreedores la deuda de 4500 millones de pesos. Contra la intención de los representantes estatales y de los empresarios a apostar al paso del tiempo, solicita acciones urgentes.","La fiscal Boquín reclamó que se active el procedimiento de ""salvataje"" de la empresa",<Response [200]>,"La fiscal Gabriela Boquín le reclamó a la sala B de la Cámara Comercial que tome una decisión en el expediente sobre la deuda del Correo Argentino, de los Macri, y le señaló que debe abrir en forma urgente el procedimiento de “salvataje”, que implicaría poner las acciones a la venta y que el posible interesado además diga cómo les pagará a los acreedores su millonaria deuda. En rigor, podría ser el paso previo a la quiebra, el fantasma del que huye desde siempre el grupo empresario de la familia presidencial, ya que podría arrastrar a sus empresas activas. 

“Se han dilapidado cuantiosos activos a lo largo de la inusitada extensión que se le ha dado al trámite del concurso en abierta violación al principio de igualdad ante la ley respecto de otros concursados (…) los representantes del Estado, en consonancia con la concursada han dilatado contra legem el presente proceso”, dice el nuevo dictamen de la fiscalía, que recupera los términos de un planteo anterior. 

El texto suma un ingrediente: denuncia que el juez federal Ariel Lijo, que tiene la causa penal sobre el acuerdo intentado entre el Correo y el Estado para licuar la deuda, retiene el expediente comercial hace dos meses, cuando la ley solo le permite consultarlo durante cinco días. La Cámara se lo exigió ayer. Ahora habrá que ver si este tribunal avanza en alguna definición.

El nuevo dictamen de Boquín, al que accedió Página/12, tiene fecha del 27 de noviembre, y pone asuntos cruciales sobre el tapete:

· Desde que ella denunció en 2017 el intento de un pacto perjudicial para las arcas públicas sobre la deuda del Correo, no se logró un nuevo acuerdo. Tanto los representantes estatales como los Macri-empresarios apostaron en mágica coincidencia al paso del tiempo. Se supone que el Estado debería hacer todo lo posible por cobrar, pero no sucedió. La Procuración del Tesoro dijo en su última presentación que no tuvo tiempo suficiente de analizar la oferta final de la empresa, que admitía pagar la deuda original del año 2003 (296 millones de pesos) pero pretendía que los intereses solo se computen si gana juicios al Estado. Según Boquín la deuda hoy es de 4500 millones de pesos.

· El escenario es el mismo de hace 18 años, cuando el Correo entró en concurso. En 2004 la Cámara Comercial había indicado el “cramdown” o salvataje de la empresa, pero la jueza de primera instancia no lo implementó. El tribunal de alzada lo abrió en 2010, el Correo apeló y desde entonces está inexplicablemente sin ser resuelto ese planteo. 

· Con el salvataje, se abre un registro para que en los cinco días posteriores se inscriban los interesados en comprar acciones y deben decir cómo pagarán a los acreedores. Estos tienen que definir si otorgan o no su conformidad. Pero, recuerda la fiscal, el respaldo que había conseguido el Correo en el acuerdo firmado en 2016, luego anulado, estaba compuesto por conformidades truchas. Ella denunció que los acreedores estaban representados por los estudios de abogados vinculados al propio Correo y a los integrantes de su directorio. El 80 por ciento de los que habían dado su aval tenía esas características. Esas conformidades fueron denunciadas y ya no se podrían usar. 

· Si no se anotan interesados o los acreedores (que son algo más de 700) los rechazan, la única vía posible es la declaración de quiebra, que arrastraría a las empresas controlantes, Socma y Sideco.

Boquin vuelve a insistir ahora en concretar el procedimiento de salvataje. Correo no es una firma tentadora para posibles compradores, porque está declarada inactiva y a la vez denunciada por operaciones dudosas y posibles maniobras de vaciamiento en favor de las firmas controlantes y de allegados al grupo Macri. Esto la pone en una situación complicada, que explica también por qué al no lograr diluir su deuda (como pretendía) la apuesta es el paso del tiempo. La dilación es el eje de los cuestionamientos de la fiscalía de cámara, que señala la llamativa coincidencia de objetivos e intereses del Estado y de la empresa.

El Procurador del Tesoro –hoy todavía Bernardo Saravia Frías, integrante de la “mesa judicial” macrista--, señaló Boquín, se escudó en un decreto sobre conflicto de intereses dictado por el propio gobierno como supuesto gesto de transparencia cuando salió a la luz el escándalo del acuerdo del Correo pero generó un mecanismo burocrático. “Ha pretendido justificar esta dilación de más de dos años, lo cual es irrazonable, en pos de una supuesta transparencia”, por la aplicación del decreto 201/2017 con lo que “se perjudica al Estado Nacional y se beneficia a la concursada”, dice la fiscalía. “Es inaceptable que en un trámite en el que el Estado nacional sea parte se desnaturalice el proceso concursal por la existencia de conflicto intereses y tampoco se puede admitir que, por los mismos, se termine beneficiando con elongación de plazos, el no pago de los créditos y sin sufrir las consecuencias propias de un concurso fracasado a aquel por el que debería aplicársele la normativa legal con el mayor rigor…”

“Observo la necesidad de encauzar el proceso concursal a fin de evitar que el transcurso del tiempo fulmine las expectativas del Estado Nacional y el resto de los acreedores de recuperar sus créditos”, insiste la fiscal. Para avanzar pide que Lijo devuelva el expediente. El juez lo había requerido con la excusa de que estaba pendiente en la causa penal contra quienes participaron del convenio con el Correo –entre ellos el ministro Oscar Aguad— un estudio contable. Tiene la causa comercial hace dos meses, pero la fiscal advirtió que la Ley de Concursos y Quiebras solo le permitía tenerla por cinco días.

Las camaristas Matilde Bellerini y María Lilia Gómez Alonso de Díaz Cordero oficializaron el pedido ayer ante Lijo, pero no está claro aún si es la antesala de una decisión postergada hace años. Boquín sañala que ya se produjo “un daño” por “la licuación del pasivo concursal” lo que afecta a todos los acreedores. Añadió su alarma por la posible existencia de otras deudas (llamadas “pasivos posconcursales”) tributarias, como la falta de pago de impuesto a las ganancias y a la ganancia mínima presunta, por 600 millones de pesos. Y otras deudas por 32 millones.

En un momento tan crucial de este caso, la Procuración General mantiene un expediente disciplinario abierto contra Boquín, situación sobre la cual pidió explicaciones el relator de la ONU sobre independencia judicial, Diego García Sayán al Estado argentino, entre otros temas. Las actuaciones comenzaron con la denuncia de dos ex empleadas de la fiscalía por supuestos malos tratos, una de ellas pareja de un juez que concursa para ocupar un lugar en la sala de la Cámara Comercial que tiene el caso del Correo. 

La periodista Luciana Bertoia reveló en El Cohete a la Luna que se sumó el testimonio de otro ex empleado, que pedía desde febrero último un traslado a Mar del Plata por razones familiares, pero el procurador interino, Eduardo Casal, no se lo otorgaba. Según habría informado el hombre a la Unión de Empleados de la Justica (UEJN), le planteaban que debía declarar contra la fiscal. Lo hizo después de las PASO. Al mes consiguió su traslado. Tanto la UEJN como el gremio Sipreba respaldaron a Boquín. 

Ella presentó su descargo y resta un dictamen del consejo evaluador. La estrategia de apostar a sacarla de la cancha incluyó pedidos del Correo ante la Cámara y la Corte. El Estado respondió a la ONU: “No pueden ser imputables al Estado las estrategias procesales de una de las partes, en este caso el Correo Argentino, que a través de sus abogados intentó apartarla sin éxito, lo que da la pauta del correcto funcionamiento del Poder Judicial….”. Como si el Correo y el gobierno de Macri fueron algo distinto. ",Irina Hauser
